# SSG Issues Database
# id	file_path	category	status	severity	description	last_updated	source
ISS-013	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	missing-feature	resolved	high	Builder missing setters present in liqp: withDefaultTimeZone, withEnvironmentMapConfigurator, withSnippetsFolderName, withDateParser, withObjectMapper, withStripSingleLine. Port also lacks defaultTimeZone/environmentMapConfigurator/dateParser fields entirely. See gap-analysis §4.1.	2026-04-10	manual
ISS-014	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	missing-feature	resolved	medium	 — Added parse(Path), parse(File), parse(InputStream), parse(Reader) overloads to TemplateParser — all delegate to parse(String) after reading content	2026-04-10	manual
ISS-015	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidSupport.scala	bug	resolved	high	Self-declared stub (line 14: 'initial stub. Full implementation in Phase 4'). TemplateParser.evaluate silently returns an empty HashMap for any non-LiquidSupport input. Combined with Template.renderToObject not calling evaluate at all, Inspectable POJOs are silently dropped. See gap-analysis §4.18.	2026-04-11	manual
ISS-016	ssg-liquid/src/main/scala/ssg/liquid/filters/Where.scala	bug	resolved	high	Inline 70-line rewrite missing major Jekyll/Liquid Where semantics: no dotted property paths (where: 'address.city' looks up literal key), no POJO support (only JMap+Inspectable), no nil/empty/blank literal handling, no collection-property matching, no numeric coercion of string properties. Original is 5 files (Where.java + filters/where/{Jekyll,Liquid,WhereImpl,PropertyResolverHelper,PropertyResolverAdapter}). See gap-analysis §4.11.	2026-04-10	manual
ISS-017	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	bug	resolved	high	Only parses ISO-8601 inputs. Original ships 63 fallback patterns via filters/date/Parser.java + Ruby ordinal normalization + BasicDateParser.getZonedDateTimeFromTemporalAccessor. Inputs like 'March 1st 2024', '01/15/2024', RFC 2822, '15 Jan' no longer parse. The entire filters/date/* package is skipped. See gap-analysis §4.10.	2026-04-10	manual
ISS-018	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	missing-feature	resolved	high	 — Added ~20 missing strftime directives: %C %D %F %G %g %V %v %N %R %r %T %c %x %X %+ %s %U %W, plus %:z/%::z/%:::z timezone variants and %0/%_ modifier flags	2026-04-10	manual
ISS-019	ssg-liquid/src/main/scala/ssg/liquid/filters/Json.scala	bug	resolved	medium	 — Json.toJson now handles NaN/Infinity as null (valid JSON), and TemporalAccessor as quoted string. Remaining gaps (cycle detection, Inspectable) tracked separately.	2026-04-10	manual
ISS-020	ssg-liquid/src/main/scala/ssg/liquid/LValue.scala	bug	resolved	medium	 — Fixed date handling: asRubyDate/asTemporal/temporalAsArray/temporalToString now handle LocalDate, LocalDateTime, OffsetDateTime, Instant, LocalTime via new toZonedDateTime helper ported from liqp BasicDateParser. No more silent fallback to now().	2026-04-10	manual
ISS-021	ssg-liquid/src/main/scala/ssg/liquid/LValue.scala	bug	resolved	low	 — asFormattedNumber now strips trailing zeros from BigDecimal fractional part (5.50→5.5) matching Java's stripTrailingZeros behavior. Uses string-level stripping for cross-platform safety.	2026-04-10	manual
ISS-022	ssg-liquid/src/main/scala/ssg/liquid/tags/Include.scala	bug	resolved	low	 — Include tag Jekyll branch now throws LiquidException for non-Map parameters instead of silently dropping them, matching original Java's ClassCastException behavior with a descriptive message	2026-04-10	manual
ISS-023	ssg-liquid/src/main/scala/ssg/liquid/TemplateContext.scala	missing-feature	resolved	medium	Missing fields/methods present in liqp: 'template' Template ref, getDateParser() (no BasicDateParser exists in port), getRootFolder() returns Any instead of Path. See gap-analysis §4.4.	2026-04-10	manual
ISS-024	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidParser.scala	bug	resolved	low	 — Parser now throws LiquidException with token type, value, and line number instead of silently skipping unexpected tokens	2026-04-10	manual
ISS-025	ssg-liquid/src/main/scala/ssg/liquid/parser/LiquidParser.scala	test-gap	resolved	medium	No rule-by-rule grammar coverage verification. Original LiquidParser.g4 has ~46 productions; not exhaustively mapped to Scala parser methods. At-risk rules: id-as-keyword (allows {% assign if = 1 %}), evaluateInOutputTag predicate, output-rule strict/warn/lax alternatives, error_other_tag 4 recovery branches, not_out_end / other_than_tag_end token sets.	2026-04-11	manual
ISS-026	ssg-liquid	missing-file	resolved	medium	Entire spi/* package skipped (TypesSupport, BasicTypesSupport, Java7DateTypesSupport, Java8DateTypesSupport, SPIHelper). No replacement extension mechanism for custom user types in the port. ServiceLoader doesn't work on JS/Native; design a Scala-3 typeclass replacement (given LiquidTypeSupport[T]) or formally drop SPI from scope and document. See gap-analysis §4.16.	2026-04-11	manual
ISS-027	ssg-liquid/src/main/scala/ssg/liquid/filters/Date.scala	missing-file	resolved	medium	filters/date/* skipped (5 files: BasicDateParser, Parser, FuzzyDateDateParser, CustomDateFormatRegistry, CustomDateFormatSupport). Required to fix Date filter parsing — see related Date.scala bugs.	2026-04-10	manual
ISS-028	ssg-liquid/src/main/scala/ssg/liquid/filters/Where.scala	missing-file	resolved	medium	filters/where/* skipped (5 files: WhereImpl, JekyllWhereImpl, LiquidWhereImpl, PropertyResolverAdapter, PropertyResolverHelper). Required to fix Where filter Jekyll/Liquid mode parity — see related Where.scala bug.	2026-04-10	manual
ISS-029	ssg-liquid/src/test/scala	test-gap	resolved	high	Test coverage ~20-30% of liqp. Port has 280 tests in 12 suites; original has 100+ test files (~1500+ assertions). Missing suites: TemplateSuite (covering render overloads, errors(), max-render-time, max-template-size, ContextHolder), DateFilterSuite, WhereFilterSuite, LValueSuite, LexerSuite, ParserSuite, NodeSuite (14 node test files in original), IncludeRelativeSuite, ProtectionSettings full coverage. See gap-analysis §6.	2026-04-11	manual
ISS-030	ssg-liquid/src/main/scala/ssg/liquid/TemplateParser.scala	bug	resolved	low	 — Documented LIQP→JEKYLL default flavor change in migration notes header comment. SSG targets Jekyll-compatible sites; users needing LIQP semantics should set .withFlavor(Flavor.LIQP).	2026-04-10	manual
ISS-031	ssg-js/src/main/scala/ssg/js/Compressor.scala	incomplete-port	resolved	high	Multi-pass compression loop unimplemented (TODO at Compressor.scala:1021-1033). Single-pass only; TerserSuite compression tests disabled because the loop hangs. Effectively makes TerserJsCompressor a parse+re-emit, not a minifier.	2026-04-11	manual
ISS-032	ssg-js/src/main/scala/ssg/js/compress/	incomplete-port	open	high	SymbolDef/scope integration missing across compress passes (~50 TODOs in DropUnused, ReduceVars, Inference, Inline, TightenBody, Evaluate, GlobalDefs). Blocks safe inlining, DCE, constant folding, pure-call elision.	2026-04-07	manual
ISS-033	ssg-js/src/main/scala/ssg/js/	missing-file	open	high	sourcemap.js (149 LOC) not ported. OutputStream lacks position tracking. Source map output impossible.	2026-04-07	manual
ISS-034	ssg-js/src/main/scala/ssg/js/Terser.scala	incomplete-port	resolved	high	minify.js orchestration stubbed (93 LOC vs 413). Missing ecma normalization, mangle cache, format options, error shape, full pipeline sequencing.	2026-04-11	manual
ISS-035	ssg-js/src/main/scala/ssg/js/compress/	missing-feature	resolved	medium	Specialized compression passes missing: collapse-vars, negate-iife, wrap-iife, hoist_vars, drop_console, logical-assignment lowering.	2026-04-11	manual
ISS-036	ssg-js/src/test/scala/ssg/js/	missing-tests	open	high	Terser test/compress/*.js (168 fixtures, thousands of cases) not ingested. ssg-js has only 6 munit suites with ~no compression coverage. Fixtures use a simple DSL trivial to parse.	2026-04-07	manual
ISS-037	ssg-js/src/main/scala/ssg/js/	missing-file	resolved	low	mozilla-ast.js (2099 LOC) SpiderMonkey AST format not ported. Public API surface gap; low priority.	2026-04-11	manual
ISS-038	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	incomplete-port	resolved	medium	 — preserveLineBreaks now honored: collapseMultiSpaces and removeIntertagSpaces check the option — when true, newlines between tags are preserved as single newlines instead of being removed	2026-04-10	manual
ISS-039	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	resolved	medium	" — Quote-stripping regex changed from [A-Za-z0-9_-]+ to [^\s=<>""']+ matching htmlcompressor behavior — strips quotes from any value without whitespace/=/angle-brackets/quotes"	2026-04-10	manual
ISS-040	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	resolved	low	 — Added preserveSsi Boolean + SsiPattern regex to HtmlMinifyOptions for SSI directive preservation. effectivePreservePatterns auto-injects patterns from boolean flags.	2026-04-10	manual
ISS-041	ssg-minify/src/main/scala/ssg/minify/css/CssMinifier.scala	missing-feature	resolved	medium	CSS color folding (rgb()/rgba()->hex, named colors->hex), shorthand collapsing (margin/padding/font-weight), vendor-prefix culling not implemented.	2026-04-11	manual
ISS-042	ssg-minify/src/main/scala/ssg/minify/Minifier.scala	incomplete-port	resolved	medium	 — Minifier.minify now checks compressCss/compressJs/compressJson toggles — returns input unchanged when toggle is off. Added minifyFile method that also checks exclude patterns against file paths.	2026-04-10	manual
ISS-043	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifyOptions.scala	missing-feature	resolved	low	 — Added preservePhp Boolean + PhpPattern regex to HtmlMinifyOptions. When true, <?php ... ?> blocks are auto-preserved during minification via effectivePreservePatterns.	2026-04-10	manual
ISS-044	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	resolved	low	compress_js_templates option missing. htmlcompressor option to also minify JavaScript template literals (backtick strings) inside <script> blocks. Port has no equivalent flag.	2026-04-11	manual
ISS-045	ssg-md/src/main/scala/ssg/md/ext/autolink/internal/AutolinkNodePostProcessor.scala	correctness	resolved	high	 — Fixed insertBefore fallback: all 3 appendChild calls now use textBase.fold(node.insertBefore(newNode))(_.appendChild(newNode)) matching Java's null-check pattern — nodes are no longer silently dropped when textBase is empty	2026-04-10	manual
ISS-046	ssg-minify/src/main/scala/ssg/minify/css/CssMinifyOptions.scala	missing-feature	resolved	low	Enhanced CSS mode (cssminify2 v2.1.0+) entirely absent: css_enhanced_mode, css_merge_duplicate_selectors, css_optimize_shorthand_properties, css_advanced_color_optimization, css_preserve_ie_hacks, css_compress_variables. Port's CssMinifyOptions has none of these. Tracked separately from ISS-041 (which covers core gem feature gaps).	2026-04-11	manual
ISS-047	ssg-md/src/main/scala/ssg/md/ext/autolink/internal/AutolinkNodePostProcessor.scala	completeness	resolved	high	Replaces org.nibor.autolink (LinkExtractor) with hand-rolled regex (URL_PATTERN/EMAIL_PATTERN/adjustUrlEnd). Documented for cross-platform but introduces detection gaps vs nibor heuristics: trailing-punctuation rules, IDN/unicode TLDs, scheme allowlist, and surrounding-bracket trimming may diverge. Run flexmark-ext-autolink AstTest fixtures to quantify.	2026-04-11	manual
ISS-048	ssg-minify/src/main/scala/ssg/minify/JsCompressor.scala	missing-feature	resolved	medium	 — Added JsCompressor.compress(input, options) overload with JsCompressorOptions trait. MinifyOptions gains jsCompressorOpts field. Minifier.minify passes options through when present. Concrete implementations (e.g. TerserOptions) can extend JsCompressorOptions.	2026-04-10	manual
ISS-049	ssg-minify/src/main/scala/ssg/minify/css/CssMinifier.scala	missing-feature	resolved	low	 — CSS removeComments now preserves /*! ... */ bang/important comments (license headers) while still removing regular /* ... */ block comments	2026-04-10	manual
ISS-050	ssg-minify/src/main/scala/ssg/minify/js/JsMinifier.scala	missing-feature	resolved	medium	 — JsMinifier now preserves important comments: /*\! ... */ (bang comments) and /* @license ... */ are kept when removeComments=true, matching Terser's default behavior	2026-04-10	manual
ISS-051	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	missing-feature	resolved	low	 — Protocol-removal regexes now match cite, longdesc, manifest, formaction, srcset in addition to href/src/action	2026-04-10	manual
ISS-052	ssg-minify/src/main/scala/ssg/minify/html/HtmlMinifier.scala	bug	resolved	medium	 — collapseMultiSpaces now uses \s{2,} (any whitespace) instead of ' {2,}' (spaces only) when preserveLineBreaks is false — matches htmlcompressor's remove_multi_spaces behavior that collapses all whitespace runs	2026-04-10	manual
ISS-053	ssg-minify/src/main/scala/ssg/minify/html/PreservedBlock.scala	missing-feature	resolved	low	Preserved-tag list is fixed at pre/textarea/script/style. htmlcompressor preserves additional content-sensitive tags depending on options (e.g. svg/math content in some configurations). Port has no configurable preserved-tag set; users must inject regexes via preservePatterns.	2026-04-11	manual
ISS-054	ssg-md/src/main/scala/ssg/md/ext/gfm/users/internal/GfmUsersInlineParserExtension.scala	correctness	resolved	low	Cross-platform regex rewrite slightly more permissive than original Java pattern: '[a-z\d-]{0,37}[a-z\d]' allows consecutive dashes whereas '-(?=[a-z\d])' did not. Acceptable per documented note (matches actual GitHub rules), but flag for test verification.	2026-04-11	manual
ISS-055	ssg-md/src/main/scala/ssg/md/ext/toc/TocUtils.scala	incomplete-port	resolved	high	 — Ported getTocPrefix, getSimTocPrefix, markdownHeaderTexts, renderTocContent, renderMarkdownToc from flexmark TocUtils.java — all 5 missing markdown-side helpers now complete	2026-04-10	manual
ISS-056	ssg-md/src/main/scala/ssg/md/ext/toc/internal/TocOptions.scala	incomplete-port	resolved	medium	 — Added equals/hashCode, withRawTitleLevel, withRawTitle, withLevelList to TocOptions — matching Java original's full API surface	2026-04-10	manual
ISS-057	ssg-js/src/main/scala/ssg/js/ast/AstNode.scala	incomplete-port	resolved	high	TreeTransformer is identical to TreeWalker — node.transform() method missing entirely. The class adds 'before/after' callback fields but neither does anything different from TreeWalker. Original transform.js (323 LOC, ~50 def_transform clauses) defines per-node-type transform() methods that walk children, then call the after callback to allow node replacement. Without this, any pass that depends on returning a replacement node from a TreeTransformer callback (e.g., GlobalDefs) silently does nothing. Port: AstNode.scala:203-206 vs original transform.js.	2026-04-11	manual
ISS-058	ssg-js/src/main/scala/ssg/js/compress/GlobalDefs.scala	bug	resolved	high	GlobalDefs.resolveDefs is dead code: (1) never called from Compressor.compress (no reference to GlobalDefs/resolveDefs anywhere in Compressor.scala) and (2) even if invoked, uses ast.walk(transformer) instead of ast.transform(transformer). The before-callback returns a replacement node, but TreeWalker discards return values used as substitution — only true/WalkAbort affect traversal. Result: global_defs compressor option is silently broken. Two fixes needed: wire resolveDefs into Compressor.compress, and either implement node.transform() or rewrite resolveDefs to mutate parent fields directly. See ISS-057. GlobalDefs.scala:216-260.	2026-04-11	manual
ISS-059	ssg-js/src/main/scala/ssg/js/output/OutputStream.scala	bug	resolved	high	 — getSymbolName now checks sym.thedef for SymbolDef with non-null mangledName, returning mangledName when available — matches original output.js print_name behavior (def.mangled_name || def.name)	2026-04-10	manual
ISS-060	ssg-js/src/main/scala/ssg/js/compress/Compressor.scala	incomplete-port	resolved	high	Compressor.optimizeTree (single-pass walker, lines 200-340) only recurses into a small subset of node types: AstScope, AstBlock, AstSimpleStatement, AstIf, AstReturn, AstAssign, AstBinary, AstUnary, AstCall, AstConditional, AstSequence. Missing recursion into: AstFor, AstForIn, AstForOf, AstWhile, AstDo, AstSwitch, AstTry/Catch/Finally, AstClass body, AstFunction/Defun/Arrow body, AstObject/Array literal contents, AstThrow, AstWith, AstLabeledStatement, AstVarDef.value, AstExport.exportedValue, etc. As a result optimizations never fire on expressions inside loops, switches, classes, or function bodies. Compounds with ISS-031: even when single-pass works, coverage is partial. See Compressor.scala:200-340.	2026-04-11	manual
ISS-061	ssg-js/src/main/scala/ssg/js/compress/Compressor.scala	bug	resolved	medium	Compressor.dropConsole (line 1034-1037) is a literal no-op stub that returns toplevel unchanged. The dropConsole option is parsed and propagated through CompressorOptions but never actually drops console.* calls. Original index.js drop_console removes AST_Call nodes whose expression is a property access on a 'console' SymbolRef. Comment says 'TODO: implement console dropping via TreeTransformer' — also blocked by ISS-057 if reimplemented via TreeTransformer.	2026-04-11	manual
ISS-062	ssg-md/src/main/scala/ssg/md/ext/gfm/tasklist/TaskListItem.scala	correctness	resolved	high	 — isParagraphWrappingDisabled parameter type changed from Any to ListOptions across the entire hierarchy: ParagraphItemContainer trait, ListItem, TaskListItem, FootnoteBlock, DefinitionTerm, EnumeratedReferenceBlock. ListItem's pattern match removed in favor of direct listOptions.isInTightListItem(node) call.	2026-04-10	manual
ISS-063	ssg-md/src/main/scala/ssg/md/ext/gfm/tasklist/TaskListItem.scala	correctness	resolved	high	 — ListItem.openingMarker converted from var to protected _openingMarker + def getter/setter. TaskListItem overrides setter to throw IllegalStateException, matching Java's setOpeningMarker override. Constructor uses backing field directly.	2026-04-10	manual
ISS-064	ssg-md/src/main/scala/ssg/md/ext/gfm/tasklist/internal/TaskListFormatOptions.scala	null	resolved	high	 — Replaced raw null with new MutableDataSet() in no-arg constructor — semantically equivalent (all DataKey.get calls return defaults) but avoids the no-null rule violation	2026-04-10	manual
ISS-065	ssg-md/src/main/scala/ssg/md/ext/enumerated/reference/internal/EnumeratedReferenceParagraphPreProcessor.scala	bug	resolved	high	 — Fixed break-as-comment bug: wrapped while loop in boundary{} and replaced no-op 'lastFound // break' with break() for proper early exit on non-contiguous matches	2026-04-10	manual
ISS-066	ssg-md/src/main/scala/ssg/md/ext/enumerated/reference/internal/EnumeratedReferenceNodeFormatter.scala	incomplete-port	resolved	high	 — All 3 gaps fixed: (1) super-ctor now passes ATTRIBUTE_UNIQUIFICATION_CATEGORY_MAP, (2) renderReferenceText uses AttributesNodeFormatter.getEncodedIdAttribute for proper encoded id transformation, (3) Factory.afterDependents declares AttributesNodeFormatter.Factory dependency	2026-04-10	manual
ISS-067	ssg-md/src/main/scala/ssg/md/ext/enumerated/reference/internal/EnumeratedReferenceNodeFormatter.scala	incomplete-port	resolved	medium	 — Fixed in ISS-066 resolution: renderReferenceBlock now uses markdown.appendNonTranslating(node.text) instead of append(node.text)	2026-04-10	manual
ISS-068	ssg-md/src/main/scala/ssg/md/ext/typographic/internal/QuoteDelimiterProcessorBase.scala	behavior	resolved	high	 — Fixed behavioral bug: havePreviousOpener/haveNextCloser now return canOpen/canClose result on FIRST matching delimiter (matching Java behavior) instead of continuing search on false. Replaced return with boundary/break.	2026-04-10	manual
ISS-069	ssg-md/src/main/scala/ssg/md/ext/enumerated/reference/EnumeratedReferenceBlock.scala	bug	resolved	medium	 — Fixed as part of ISS-062: EnumeratedReferenceBlock.isParagraphWrappingDisabled uses ListOptions	2026-04-10	manual
ISS-070	ssg-md/src/main/scala/ssg/md/ext/aside/AsideBlock.scala	porting	resolved	high	 — AsideBlock(chars, segments) constructor now sets contentLines = segments, matching Java's super(chars, segments) call	2026-04-10	manual
ISS-071	ssg-md/src/main/scala/ssg/md/ext/youtube/embedded/internal/YouTubeLinkNodeRenderer.scala	correctness	resolved	low	Java uses java.net.URL.getFile() (which returns rawPath+? +rawQuery if present, '' otherwise). Scala port emulates with URI getRawPath + (if query then '?'+query else ''). For typical youtu.be URLs results match. Edge case: URI parsing accepts more inputs than URL — some malformed strings that Java would catch as MalformedURLException now silently succeed via URI. Consider adding explicit scheme/host validation.	2026-04-11	manual
ISS-072	ssg-md/src/main/scala/ssg/md/ext/macros/MacroDefinitionBlock.scala	porting	resolved	high	 — MacroDefinitionBlock(chars, segments) constructor now sets contentLines = segments, matching Java's super(chars, segments) call	2026-04-10	manual
ISS-073	ssg-md/src/test/scala/ssg/md/ext/enumerated/reference/EnumeratedReferenceExtensionSuite.scala	missing-coverage	resolved	high	Placeholder ExtensionSuite only — tests construction and a single getType call. No spec-driven rendering tests for ordinal generation, cross-document references, compound types (a:b:c), or HTML output (anchor href, title via EnumRefTextCollectingVisitor). Original flexmark has Combo/Spec test suites with hundreds of fixtures; SSG has none. The renderer and formatter gaps would not surface without rendering tests.	2026-04-11	manual
ISS-074	ssg-md/src/main/scala/ssg/md/ext/macros/MacroReference.scala	nullable	resolved	high	Multiple uses of null.asInstanceOf[MacroDefinitionBlock] and Nullable.empty.getOrElse(null) to satisfy ReferencingNode trait return type. Trait should be re-typed to return Nullable[B] (out of group C scope but tracked here).	2026-04-11	manual
ISS-075	ssg-md/src/test/scala/ssg/md/ext/media/tags/MediaTagsExtensionSuite.scala	missing-coverage	resolved	high	Placeholder ExtensionSuite only — tests prefixes and Utilities mime lookup. No end-to-end Markdown→HTML render tests for \![alt](url1|url2)A producing <audio><source>...</audio>, <video>, <picture><source srcset><img>, <embed>. Original flexmark has Combo/Spec tests. Without rendering tests, the MediaTagsNodePostProcessor's prefix detection (escape handling, multi-source split via |) and the renderer's mime detection are unverified end-to-end.	2026-04-11	manual
ISS-076	ssg-md/src/main/scala/ssg/md/ext/macros/internal/MacroDefinitionBlockParser.scala	porting	resolved	high	Parser omits GitLab block-quote pass-through logic in tryContinue (Java lines 58-65). When close marker '<<<' is reached but the last child is an open GitLabBlockQuote, original lets the child handle the line; SSG always closes. Marked 'not yet ported' but should be tracked once GitLab ext is added.	2026-04-11	manual
ISS-077	ssg-md/src/test/scala/ssg/md/ext/resizable/image/ResizableImageExtensionSuite.scala	missing-coverage	resolved	high	Placeholder ExtensionSuite — tests node construction only. No tests for IMAGE_PATTERN matching ![alt](url =100x200) syntax or rendering to <img src alt width=100px height=200px>. Combo/Spec tests not ported. Cross-platform regex behavior (re2 vs Java) for the IMAGE_PATTERN is unverified.	2026-04-11	manual
ISS-078	ssg-md/src/test/scala/ssg/md/ext/youtube/embedded/YouTubeLinkExtensionSuite.scala	missing-coverage	resolved	high	Placeholder ExtensionSuite — only construction tests. No tests for @[text](https://youtu.be/ID) or @[text](https://www.youtube.com/watch?v=ID) post-processing or iframe rendering. The URL→URI substitution in the renderer (port-specific) is unverified, and the youtu.be vs youtube.com/watch branching has no fixtures.	2026-04-11	manual
ISS-079	ssg-md/src/main/scala/ssg/md/ast/ParagraphItemContainer.scala	bug	resolved	low	 — Fixed as part of ISS-062: ParagraphItemContainer now uses ListOptions, stale comment removed	2026-04-10	manual
ISS-080	ssg-md/src/main/scala/ssg/md/ext/typographic/TypographicSmarts.scala	behavior	resolved	low	astExtra prints typographic info only when defined (foreach), but Java original always prints ' typographic: <value> ' even when typographicText is null (printing 'null'). May affect AST snapshot tests.	2026-04-11	manual
ISS-081	ssg-md/src/main/scala/ssg/md/ext/footnotes/FootnoteBlock.scala	bug	resolved	low	 — Fixed inverted comparison: addFirstReferenceOffset now uses > instead of <, keeping the smallest offset as intended. Bug exists in original Java too; fixed per CLAUDE.md fix-bugs policy.	2026-04-10	manual
ISS-082	ssg-md/src/main/scala/ssg/md/ext/typographic/TypographicQuotes.scala	behavior	resolved	low	astExtra getOrElse('') prints empty when typographicOpening/Closing is None; Java prints 'null'. Snapshot AST tests may diverge.	2026-04-11	manual
ISS-083	ssg-md/src/main/scala/ssg/md/ext/admonition/internal/AdmonitionNodeFormatter.scala	behavior	resolved	low	 — Fixed translation semantics: node.info uses appendNonTranslating, node.title uses appendTranslating — matching original Java AdmonitionNodeFormatter	2026-04-10	manual
ISS-084	ssg-md/src/main/scala/ssg/md/ext/jekyll/tag/internal/IncludeNodePostProcessor.scala	correctness	resolved	high	 — Fixed break-as-comment bug in both link-resolver and content-resolver loops: wrapped each with boundary{}/break() so iteration stops on first non-UNKNOWN status, matching original Java break behavior	2026-04-10	manual
ISS-085	ssg-md/src/main/scala/ssg/md/ext/macros/internal/MacrosNodeRenderer.scala	behavior	resolved	low	 — Removed unnecessary child.isDefined guard on else branch — hasChildren guard ensures firstChild is always defined, matching Java's unconditional else	2026-04-10	manual
ISS-086	ssg-md/src/main/scala/ssg/md/ext/jekyll/tag/internal/IncludeNodePostProcessor.scala	completeness	resolved	high	 — Added DependencyResolver.resolveFlatDependencies for both LINK_RESOLVER_FACTORIES and CONTENT_RESOLVER_FACTORIES	2026-04-10	manual
ISS-087	ssg-md/src/main/scala/ssg/md/ext/macros/MacrosExtension.scala	nullable	resolved	low	 — Replaced null with new MutableDataSet() in MacroDefinitionRepository default DataKey constructor, avoiding raw null at non-interop boundary	2026-04-10	manual
ISS-088	ssg-md/src/main/scala/ssg/md/ext/definition/internal/DefinitionItemBlockParser.scala	bug	resolved	medium	 — Fixed blank-line handling: now checks isEmpty || firstChild.exists(_.next.isEmpty) matching Java's isEmpty || firstChild.getNext()==null condition	2026-04-10	manual
ISS-089	ssg-md/src/main/scala/ssg/md/ext/definition/internal/DefinitionListBlockPreProcessor.scala	bug	resolved	medium	 — Fixed missing break: propagate-loose-tight loop now uses boundary/break to exit on !blankLinesInAST, matching Java original	2026-04-10	manual
